TimeStamp;ReadsAvg;WritesAvg
1481817198;92.1296;155.6459
1481817204;63.9122;130.1385
1481817206;83.8677;109.7287
1481817208;101.1504;109.3372
1481817209;64.9093;122.6427
1481817211;57.7984;107.6292
1481817215;74.3802;111.49799999999999
1481817216;69.0605;127.5492
1481817217;65.7592;110.414
1481817218;53.6672;110.78399999999999
1481817221;53.7797;106.6701
1481817222;53.2232;106.5542
1481817223;55.2214;110.48
1481817224;60.1414;109.4551
1481817226;53.6496;106.7758
1481817227;52.7533;106.5576
1481817229;55.2604;108.8171
1481817230;52.8911;113.2003
1481817231;53.093999999999994;107.434
1481817233;52.5552;105.383
1481817236;54.2288;107.7931
1481817238;52.871;106.3554
1481817239;53.515;107.7553
1481817240;53.5765;108.5271
1481817241;53.3875;107.3875
1481817242;53.4677;107.7612
1481817243;61.0691;134.5208
1481817244;57.1209;110.3654
1481817245;52.9591;105.8537
1481817247;53.3257;106.4072
1481817248;53.6805;108.1651
1481817250;52.7534;106.0343
1481817251;53.5953;106.5516
1481817254;54.0726;109.8678
1481817256;53.3201;106.5364
1481817257;53.1868;107.6771
1481817258;55.0501;109.5884
1481817259;53.7377;107.6962
1481817260;55.3543;108.7037
1481817261;53.5267;108.25200000000001
1481817262;53.6038;107.7318
1481817263;54.0816;106.555
1481817264;53.777;108.1062
1481817267;53.2144;109.3043
1481817268;53.6813;110.9247
1481817269;53.6875;108.6273
1481817272;52.9187;105.4131
1481817273;52.821999999999996;106.0168
1481817277;54.2615;109.044
1481817278;53.7575;107.60799999999999
1481817279;53.7455;108.135
1481817280;53.3191;108.81200000000001
1481817281;53.5143;105.4447
1481817282;55.8073;111.8054
1481817284;53.0197;105.8029
1481817285;54.4419;109.2273
1481817286;53.3965;108.3114
1481817288;52.9659;105.2563
1481817289;54.4056;108.1939
1481817291;54.2639;111.1229
1481817292;53.3063;108.0725
1481817293;53.7421;106.8133
1481817295;54.4851;108.7691
1481817296;53.2777;107.7557
1481817300;53.8688;107.6542
1481817301;54.6904;110.2739
1481817302;53.9267;107.3396
1481817303;68.081;106.8335
1481817304;54.2708;109.7933
1481817305;54.5522;108.8647
1481817306;53.485;108.0298
1481817307;70.9534;109.0056
1481817308;53.9281;104.3598
1481817310;53.227;107.0038
1481817312;66.0543;152.4667
1481817316;52.5668;108.1812
1481817318;51.5942;103.2416
1481817320;52.4546;104.8427
1481817321;54.4989;108.2931
1481817329;53.3586;106.9921
1481817332;53.3477;106.5343
1481817335;52.8581;106.4543
1481817336;52.9713;106.5931
1481817338;52.8478;104.9922
1481817339;52.3147;105.6314
1481817340;62.3568;104.9812
1481817341;52.9121;106.8784
1481817343;52.8694;105.65299999999999
1481817344;52.7903;106.5935
1481817345;53.2471;107.2142
1481817346;52.5214;104.9949
1481817348;52.6885;104.9738
1481817350;53.6051;108.4111
1481817351;52.9119;105.9215
1481817352;52.6921;105.5396
1481817353;52.354;105.1881
1481817354;51.8889;104.0184
1481817355;52.891999999999996;106.9249
1481817356;52.736999999999995;104.2848
1481817359;53.0647;105.8919
1481817360;52.6912;105.4206
1481817361;52.9006;105.0433
1481817362;54.021;108.0134
1481817363;52.3294;104.5091
1481817364;52.7565;106.0527
1481817365;52.8419;105.5093
1481817366;53.0664;105.5157
1481817368;53.497;106.7015
1481817369;52.8263;105.444
1481817372;52.1819;106.3117
1481817373;52.4042;105.64299999999999
1481817375;52.6175;105.9976
1481817376;53.0212;106.7814
1481817377;52.2082;105.1267
1481817379;52.7935;107.2601
1481817380;54.1584;109.3661
1481817381;53.0078;108.1169
1481817382;51.9681;104.2259
1481817383;53.128;108.3713
1481817384;52.6296;105.0521
1481817385;52.3231;105.9381
1481817386;53.2047;105.975
1481817387;52.9219;106.9466
1481817388;52.7153;105.794
1481817389;53.2163;106.9968
1481817393;52.1007;104.7763
1481817394;52.5806;105.0726
1481817395;51.9764;103.4984
1481817396;53.6981;105.2886
1481817397;52.1619;104.8184
1481817398;54.1358;109.064
1481817400;52.8874;105.6192
1481817402;52.8201;106.1928
1481817403;53.0694;104.6208
1481817404;53.0497;104.5566
1481817405;52.786;107.2537
1481817406;54.4164;108.0219
1481817407;53.8831;105.8655
1481817409;53.0524;107.6412
1481817410;52.9189;106.7251
1481817411;52.934;106.5438
1481817414;52.7469;104.9236
1481817415;52.6848;107.7281
1481817416;51.4976;103.9694
1481817417;52.6134;106.1695
1481817418;53.2647;106.8864
1481817420;53.1609;105.8141
1481817422;52.7722;107.37
1481817424;52.4257;106.1157
1481817426;80.0931;154.4887
1481817427;58.8657;132.451
1481817428;53.1022;107.9653
1481817429;52.5496;105.3974
1481817430;53.8309;110.3257
1481817432;57.4312;113.5556
1481817434;52.9791;106.9464
1481817436;52.4075;105.1141
1481817437;53.1243;108.434
1481817439;52.598;107.87200000000001
1481817440;54.6229;106.5539
1481817442;53.5541;107.0712
1481817444;52.3888;105.2621
1481817450;52.1363;104.7661
1481817456;51.7509;105.4723
1481817464;52.361000000000004;104.2068
1481817465;51.9947;105.4743
1481817469;55.7771;106.9521
1481817476;52.0422;104.9028
1481817479;52.3979;105.45700000000001
1481817481;52.4189;104.7318
1481817493;55.8984;119.2398
1481817495;63.4061;126.3131
1481817496;60.5594;120.1379
1481817497;59.4337;119.9195
1481817499;63.0355;131.6483
1481817500;60.291000000000004;118.9263
1481817503;57.2629;115.7818
1481817505;56.138000000000005;113.6767
1481817506;56.9167;112.1129
1481817507;58.566;121.0694
1481817508;56.7509;114.29799999999999
1481817510;55.8936;114.40899999999999
1481817511;57.7442;112.8827
1481817512;56.1277;110.5419
1481817514;59.2643;117.7232
1481817517;58.9919;115.0225
1481817518;58.088;115.9275
1481817519;57.6117;116.7074
1481817520;55.6522;113.8778
1481817521;56.464;113.5573
1481817523;56.9024;116.01
1481817524;59.0299;120.0735
1481817526;61.5185;122.2116
1481817529;58.9174;119.7774
1481817530;55.2414;111.2387
1481817531;58.3746;119.7768
1481817534;59.0039;122.4964
1481817535;60.625;115.8437
1481817537;61.8869;122.1463
1481817538;59.3813;122.103
1481817539;60.653999999999996;122.7124
1481817540;59.1816;117.5941
1481817543;57.5657;128.8795
1481817544;58.1371;117.3626
1481817545;57.6859;119.6719
1481817546;59.566;116.3638
1481817548;60.7799;117.9302
1481817551;58.7711;119.6834
1481817552;57.3786;111.8914
1481817553;56.1848;115.90799999999999
1481817555;56.7237;115.0603
1481817556;58.6957;118.5462
1481817558;58.5685;117.5065
1481817559;57.2553;118.228
1481817562;56.7506;115.2133
1481817563;58.4889;117.3145
1481817565;57.6664;114.9177
1481817569;57.8377;117.4698
1481817570;56.3371;121.2251
1481817571;58.2591;115.6755
1481817573;59.8925;122.6464
1481817574;60.4319;123.6523
1481817575;59.1875;119.3118
1481817576;58.7984;119.0953
1481817577;57.967;115.9658
1481817580;56.8922;115.016
1481817581;57.5724;114.2403
1481817582;144.1608;188.9231
1481817584;75.7905;168.755
1481817585;70.4659;133.2119
1481817586;59.3351;121.1095
1481817589;108.24;214.1923
1481817591;62.2826;125.8906
1481817593;61.6132;124.4263
1481817595;58.122;117.9219
1481817596;78.9837;139.0381
1481817597;64.1177;134.3006
1481817598;59.5154;117.2844
1481817602;60.0711;122.5873
1481817604;58.5943;119.2776
1481817605;59.5955;116.8146
1481817606;60.0873;120.8104
1481817607;58.8005;117.3099
1481817608;58.5746;120.7576
1481817609;53.4357;107.3308
1481817610;53.6369;108.0859
1481817612;52.775;106.7519
1481817613;55.5611;111.8323
1481817614;54.2916;110.5766
1481817625;62.416000000000004;114.8203
1481817632;55.6783;111.4511
1481817633;73.5158;145.4196
1481817634;83.6362;174.875
1481817636;57.0412;115.2549
1481817637;54.6361;106.9915
1481817639;55.8353;111.0011
1481817644;55.4939;110.8166
1481817645;53.6964;109.839
1481817646;56.7369;111.162
1481817647;53.9833;110.4491
1481817648;54.2899;115.0626
1481817649;55.6044;111.9598
1481817650;54.4278;108.9932
1481817651;55.636;111.6084
1481817652;54.784;107.51799999999999
1481817653;57.7438;108.61
1481817655;57.0816;114.0796
1481817657;55.9724;109.3387
1481817658;56.4599;116.4645
1481817660;54.9036;108.5475
1481817665;54.7611;110.4346
1481817666;55.6443;110.6864
1481817667;54.0495;107.0129
1481817669;54.9407;108.8769
1481817670;54.236000000000004;108.5644
1481817671;54.6647;109.0004
1481817672;54.6099;109.0192
1481817673;54.9925;108.6849
1481817676;54.6054;108.4121
1481817677;54.368;109.304
1481817679;54.8593;109.3146
1481817680;54.165;108.9489
1481817683;53.9343;105.5705
1481817684;53.8083;109.5976
1481817686;53.8593;109.6307
1481817687;54.8216;108.6308
1481817688;54.0439;107.2945
1481817689;55.38;108.8559
1481817690;54.5348;112.9696
1481817691;53.7044;106.0923
1481817692;54.475;108.9009
1481817694;57.506;113.9121
1481817695;53.7921;111.9093
1481817696;53.748999999999995;107.8549
1481817698;53.7981;106.6168
1481817699;54.7346;109.0957
1481817700;55.7522;109.5004
1481817701;56.5933;112.5367
1481817703;54.1968;107.9982
1481817705;54.8755;111.4483
1481817706;58.0189;117.7936
1481817708;53.815;108.3937
1481817709;55.4804;109.5714
1481817710;55.2768;111.4491
1481817711;55.6979;112.9372
1481817712;55.4683;110.1805
1481817713;54.1719;107.6277
1481817714;53.2648;108.2812
1481817715;55.7543;108.5905
1481817717;53.9705;108.7185
1481817718;53.513999999999996;108.7064
1481817719;53.9792;109.1125
1481817722;55.1502;109.536
1481817726;53.7912;105.9454
1481817727;54.277;111.1306
1481817728;53.963;108.2152
1481817729;54.0045;107.3473
1481817730;57.1126;109.4277
1481817731;53.6933;108.6086
1481817732;54.3981;108.7498
1481817733;58.0756;106.5211
1481817734;54.4903;109.9683
1481817738;53.5926;107.0394
1481817746;53.417;105.5303
1481817753;53.3962;104.5121
1481817755;53.1352;107.3778
1481817763;52.7191;104.2721
1481817765;52.7616;106.245
1481817768;52.5117;106.3573
1481817775;52.4256;106.2359
1481817794;56.3738;110.1361
1481817796;57.5609;113.2827
1481817797;52.5699;104.9425
1481817800;53.7079;112.9826
1481817801;53.206;107.4762
1481817802;53.5286;108.8423
1481817803;53.648;105.7385
1481817804;53.9267;110.8281
1481817806;53.1129;106.0891
1481817808;52.997;105.9027
1481817809;53.6065;108.4339
1481817810;53.4827;105.9815
1481817811;57.078;104.2936
1481817813;53.2078;106.0592
1481817815;53.1868;106.459
1481817817;53.6954;106.9936
1481817818;52.9078;106.0745
1481817819;53.4986;106.9007
1481817820;53.5106;106.4817
1481817823;53.8898;107.6317
1481817824;53.7329;107.7082
1481817825;53.4921;106.7845
1481817826;54.1621;106.9113
1481817829;53.3943;107.9644
1481817830;53.3127;105.0438
1481817831;54.9472;108.6466
1481817832;53.6354;107.7424
1481817833;53.6318;106.8824
1481817834;54.3994;109.5541
1481817835;55.0065;109.9064
1481817837;55.443999999999996;110.9027
1481817840;54.3592;107.1221
1481817841;53.6048;110.1741
1481817842;53.739;106.6553
1481817843;55.1696;114.1512
1481817847;54.7241;109.4549
1481817848;55.2568;109.6325
1481817850;54.4018;109.8954
1481817851;54.4766;110.1726
1481817852;56.4128;110.3975
1481817853;54.6909;108.0965
1481817854;55.9443;112.3901
1481817855;54.406000000000006;107.26299999999999
1481817856;54.9677;108.5775
1481817857;53.6371;106.8423
1481817861;53.9826;105.9611
1481817862;52.9592;107.671
1481817865;53.0809;105.0932
1481817866;55.3567;112.66799999999999
1481817867;54.6128;109.9169
1481817869;55.6957;110.8877
1481817870;53.9462;109.323
1481817871;53.4127;108.1298
1481817872;53.8454;108.9535
1481817875;54.2787;109.5515
1481817876;56.381;111.1133
1481817877;55.0867;110.1001
1481817878;56.7575;112.9982
1481817880;53.883;109.1477
1481817884;55.4615;111.8044
1481817887;55.0567;110.038
1481817888;54.7716;112.28399999999999
1481817889;55.4811;108.7601
1481817890;54.0214;108.2824
1481817891;54.6482;108.3833
1481817892;53.5793;109.1258
1481817893;56.1123;112.4622
1481817894;55.9664;110.2984
1481817895;54.5736;109.3927
1481817897;60.9671;123.3006
1481817898;56.3571;113.8152
1481817903;55.2847;106.7184
1481817906;54.7714;108.2346
1481817911;54.273999999999994;107.6625
1481817913;54.3322;108.8059
1481817924;54.3394;104.9819
1481817926;53.9051;107.7612
1481817933;53.4155;106.9272
1481817937;53.3734;107.46700000000001
1481817942;52.9846;109.1181
1481817954;56.6553;113.1533
1481817958;81.0485;152.2202
1481817959;55.9475;113.5409
1481817960;55.8286;112.9351
1481817961;53.9222;107.0217
1481817965;54.8672;107.5999
1481817967;55.2885;111.5172
1481817970;54.7083;109.2504
1481817971;53.5699;106.1948
1481817972;54.0057;107.5386
1481817973;54.638999999999996;108.45200000000001
1481817975;53.0725;107.9529
1481817976;54.0807;110.5618
1481817978;55.1646;108.0096
1481817979;55.1378;109.5471
1481817980;53.8811;109.0774
1481817981;53.7778;108.4814
1481817982;55.724;108.635
1481817983;55.0548;108.5627
1481817984;54.0629;109.1106
1481817987;54.6595;108.3555
1481817988;54.4835;108.8308
1481817991;53.7834;107.4628
1481817992;54.9826;108.3004
1481817994;54.9385;111.4549
1481817995;54.7666;109.7983
1481817997;54.5651;110.5581
1481817998;54.3436;107.7994
1481818000;53.6793;108.5268
1481818001;55.7421;106.8685
1481818002;54.4792;108.8909
1481818003;55.1561;108.5702
1481818006;54.7035;109.2456
1481818007;55.0175;110.8487
1481818009;54.7517;111.2216
1481818012;53.7171;107.5122
1481818013;53.041000000000004;106.8821
1481818014;55.5002;110.155
1481818015;53.5434;107.2278
1481818016;53.8242;107.0075
1481818017;53.7407;111.1402
1481818019;54.2256;107.6113
1481818020;54.3531;107.2527
1481818021;54.9086;111.1008
1481818022;54.3578;110.9285
1481818024;53.6348;107.2001
1481818025;52.8444;106.6982
