TimeStamp;LostFrames;noAudioPlayed;avgInterAudioPlayedDelay;NetReadOperations;NetReadBytes;NetReadAvgDelay;noAudioLost;noAudioLate;NoRTPPkts;AvgRTPInterPktDelay;LostRTPPkts;AvgRTPJitter;DispFrames;AvgInterDispDelay
1481817096;0;43;0.023719022440400004;479;308040;0.00209071392306;0;0;0;0;0;0;24;0.0417084991932
1481817097;0;42;0.023983262834099996;280;154056;0.00359983614513;0;0;0;0;0;0;24;0.0417110025883
1481817098;0;42;0.0240008831024;79;56736;0.012463023391;0;0;0;0;0;0;24;0.0417082905769
1481817099;0;42;0.0234273558571;78;48640;0.0126157051478;0;0;0;0;0;0;24;0.0417064527671
1481817100;0;43;0.0234551596087;50;40520;0.0201511192322;0;0;0;0;0;0;24;0.041708459456800004
1481817101;0;42;0.0240069287164;69;48632;0.014612885489000001;0;0;0;0;0;0;24;0.041707545518900005
1481817102;0;37;0.0259342966853;98;64848;0.010041835356700002;0;0;0;0;0;0;23;0.041710304177300005
1481817103;0;42;0.0234040759859;203;113512;0.00496523251087;0;0;0;0;0;0;24;0.0417065819105
1481817105;0;43;0.0229062091473;194;113504;0.00507071583541;0;0;0;0;0;0;24;0.04170670111969999
1481817106;0;42;0.0239840007964;222;121624;0.00454153133942;0;0;0;0;0;0;24;0.041708757480000004
1481817107;0;37;0.024626377466599996;212;113520;0.00475476485378;0;0;0;0;0;0;24;0.0417084991932
1481817108;0;42;0.024001218023799998;174;97296;0.00579197653409;0;0;0;0;0;0;24;0.04170670111969999
1481817109;0;43;0.0223508601965;173;97296;0.00568930124272;0;0;0;0;0;0;24;0.041709333658199996
1481817110;0;42;0.025687972704599996;146;89176;0.00690443058536;0;0;0;0;0;0;24;0.041708757480000004
1481817111;0;42;0.024006718681;155;89184;0.006503852721180001;0;0;0;0;0;0;24;0.0417093733946
1481817112;0;43;0.024033158324500002;145;81080;0.006784999781640001;0;0;0;0;0;0;24;0.0417055785656
1481817113;0;42;0.0239778813862;135;72976;0.007466665903729999;0;0;0;0;0;0;24;0.0417109231154
1481817114;0;42;0.023996336119499997;116;64864;0.00869104368933;0;0;0;0;0;0;24;0.041707575321199994
1481817115;0;42;0.023993929227200003;78;48640;0.0129147187257;0;0;0;0;0;0;24;0.0417081316312
1481817116;0;43;0.0229110939558;97;56752;0.0101471635484;0;0;0;0;0;0;24;0.041705916325300005
1481817117;0;42;0.023998975753799997;88;56744;0.0114550807259;0;0;0;0;0;0;24;0.041711409886699996
1481817118;0;37;0.0246301083951;107;56760;0.00942180312683;0;0;0;0;0;0;24;0.0417068799337
1481817119;0;47;0.022975038974799997;88;56744;0.0111800350926;0;0;0;0;0;0;24;0.0417066216469
1481817120;0;37;0.0259317836246;107;64856;0.00942061549035;0;0;0;0;0;0;24;0.0417105853558
